ADWGTC,51
AEAFTF,38
AIYEKX,52
AJOZMF,74
AQBFSP,46
ASSZEM,40
AZRUGG,35
BHRHWW,64
BQXZZR,50
BTCPZK,9
BXEBRV,64
CYBWTX,67
DKWGDT,29
DLTHAD,46
DSBLKP,56
DUZPMH,37
DVZUCM,49
DZZWTA,52
EAADYR,60
ECDLKA,68
EXSZXO,74
FBASSX,52
FBXGWT,31
FEAMIL,63
FMZHHD,58
FOEKCY,73
GZNZFR,40
HAKEBD,50
HZICHM,49
IBDGIO,34
IDFPEQ,39
IIYPYY,36
IKRUTW,52
ILCQGQ,55
ISRURK,32
JHRCTH,58
JHTXOL,47
JMYLKU,44
JNLRLL,46
JSEVUQ,69
JXJIBS,49
KEWZZI,30
KQHDBD,31
KSRDJP,37
LEHABW,55
LMHLCR,42
LSHRGI,52
LTTVKS,83
LUUCDM,69
LVUYQE,51
MDXMVX,54
MGHJMF,84
MGMHCU,33
MIQWXD,62
MKRYVJ,55
MOISEE,61
MQPRYD,55
MUGYBH,65
NCBACL,47
NIMMRE,51
NMNDYH,53
NTMERK,53
NYLUDW,14
OVENQB,27
PYFNVI,33
QPZGSO,32
QRGLNP,50
QRVMSF,64
QYSNQY,27
QZENXS,49
SHTNAD,56
SSYIRD,31
TCEHDW,52
TKDFUM,56
TMYDQF,62
TRGTMI,42
TSSMMO,40
TUQUKX,67
TYUZNZ,64
UAYVMF,45
ULKIRW,72
URPBJJ,54
UVQDJL,48
VJUMDY,62
VRCKKV,82
VRDIEZ,29
WNUDAP,69
WORNLW,70
XTOPAM,63
XYEHZM,39
YGFGIH,74
YQBSTA,41
YYOWDY,38
YYTOMF,59
ZBOGZL,47
ZEFTAF,55
ZFCUIN,60
ZPMSHL,60
ZQCBQY,42
ZSQTXF,56
